state_acronym,scf_name,_TYPE_,_FREQ_,meanpop,scf_id,state_name,pop,scf_lat,scf_long,scf_elev,scf_persons_per_house,scf_income_per_house,N_zip3,FIPS,state_pop2000,state_lat,state_long,NCHS_id,city_id
SD,Aberdeen,3,1,59200.52419,1,South Dakota,60915,45.34073254,-98.7272411,1517.88,2.5768,31224.21277,1,46,754844,44.047502,-99.043799,42,1
TX,Abilene,3,1,247959.9093,2,Texas,309696,32.19054555,-99.76974947,1766.817832,2.650419715,31612.17675,3,48,20851820,30.943149,-97.388631,44,2
OH,Akron,3,1,831108.5706,3,Ohio,812815,41.10234004,-81.56518088,1043.690385,2.685865385,42850.59927,2,39,11353140,40.480854,-82.749366,36,3
CO,Alamosa,3,1,70673.41331,4,Colorado,65877,37.43581276,-106.2529089,7834.393939,2.744242424,30314.32143,1,8,4301261,39.500656,-105.203628,6,4
GA,Albany,3,1,488683.375,5,Georgia,363766,31.46033971,-83.8729811,278.4768908,2.811869748,31011.57778,2,13,8186453,33.332208,-83.868887,11,5
NY,Albany,3,1,895823.1895,6,New York,884968,42.69958994,-73.91361045,485.8545127,2.583339765,41187.48371,4,36,18976457,41.507548,-74.645228,33,6
NM,Albuquerque,3,1,881776.0423,7,New Mexico,984074,35.35426017,-106.4874199,6208.848369,2.794617763,34100.69001,3,35,1819046,34.623012,-106.342108,32,7
LA,Alexandria,3,1,388704.0585,8,Louisiana,391941,31.4272763,-92.41802254,125.518313,2.875484184,26009.72993,2,22,4468976,30.69927,-91.457133,19,8
CA,Alhambra,3,1,2061377.944,9,California,1925492,34.06963926,-117.8626661,622.6212121,2.970530303,45163.54444,2,6,33871648,35.458606,-119.355165,5,9
PA,Altoona,3,1,349700.1391,11,Pennsylvania,387497,40.69320301,-78.18399235,1356.583715,2.72112689,33636.07225,2,42,12281054,40.463528,-77.075925,39,10
TX,Amarillo,3,1,427808.2298,12,Texas,418653,35.26753349,-101.6807773,3471.312563,2.680442943,36885.19372,2,48,20851820,30.943149,-97.388631,44,11
